stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
IVC,31-12-2019,-53327000,-53327000,-46109000,665897000,925880000,927964000,9302000,-29076000,2084000,2084000,262067000,259983000,-53327000,-44025000,,,,
IVC,31-12-2018,-43922000,-43922000,-19722000,704671000,986727000,972347000,9820000,-28336000,-14380000,-14380000,267676000,282056000,-43922000,-34102000,,,,
IVC,31-12-2017,-76541000,-76541000,-38763000,697246000,993984000,966497000,10291000,-22907000,-27487000,-27487000,269251000,296738000,-76541000,-66250000,,,,
IVC,31-12-2016,-42856000,-42856000,-9208000,763847000,1067823000,1047474000,13299000,-15875000,-20349000,-20349000,283627000,303976000,-42856000,-29557000,,,,
CSLT,31-12-2019,-40002000,-40002000,1336000,59074000,184646000,143308000,0,,-41338000,-41338000,84234000,66578000,-40002000,-40002000,58994000,,,
CSLT,31-12-2018,-39706000,-39706000,-712000,60189000,195398000,156404000,0,,-38994000,-38994000,96215000,74754000,-39706000,-39706000,60455000,,,
CSLT,31-12-2017,-51902000,-51902000,-1811000,46652000,187317000,132020000,-5206000,,-55297000,-55297000,85368000,86163000,-51902000,-57108000,54502000,,,
CSLT,31-12-2016,-58686000,-58686000,-2468000,31866000,154926000,98708000,0,,-56218000,-56218000,66842000,82600000,-58686000,-58686000,40460000,,,
LPX,31-12-2019,-5000000,-10000000,-96000000,2007000000,2237000000,2310000000,-13000000,-19000000,73000000,73000000,303000000,233000000,-5000000,-23000000,,-3000000,10000000,
LPX,31-12-2018,395000000,399000000,-14000000,2084000000,2293000000,2828000000,122000000,-16000000,535000000,535000000,744000000,213000000,395000000,521000000,,-4000000,10000000,
LPX,31-12-2017,390000000,391000000,-20000000,1998000000,2204000000,2734000000,119000000,-19000000,530000000,530000000,736000000,201000000,390000000,510000000,,5000000,10000000,
LPX,31-12-2016,149800000,150300000,-25500000,1829100000,2037800000,2233400000,19800000,-32100000,195600000,195600000,404300000,188100000,149800000,170100000,,17400000,10000000,
GDYN,31-12-2019,10430000,10807000,-2684000,69064000,100193000,118326000,4642000,,18133000,18133000,49262000,27163000,10807000,15449000,3966000,,,
GDYN,31-12-2018,9228000,9228000,-3254000,51533000,75528000,91865000,3855000,,16337000,16337000,40332000,21732000,9228000,13083000,2263000,,,
GDYN,31-12-2017,7682000,13184000,-1874000,39935000,55702000,70684000,-76000,,14982000,14982000,30749000,14055000,13184000,13108000,1712000,,,
ARA,31-12-2019,-21789000,26145000,-74360000,568017000,739855000,822522000,-17838000,-43587000,82667000,82667000,254505000,133243000,-13790000,8307000,,,290472000,
ARA,31-12-2018,-31333000,22467000,-69501000,559231000,710912000,805776000,2896000,-32632000,94864000,94864000,246545000,111879000,-28767000,25363000,,,297980000,
ARA,31-12-2017,-16100000,58136000,-39367000,472941000,622028000,729002000,9471000,-29309000,106974000,106974000,256061000,111453000,-4597000,67607000,,,318136000,
